afterOT_away,afterOT_home,away_points,away_team,cumpointdiff_away,cumpointdiff_home,date,daysoff_away,daysoff_home,game_count_away,game_count_home,home_points,home_team,overtime,time,win10_away,win10_home,win1_away,win1_home,win3_away,win3_home,win5_away,win5_home,winner,winrate_away,winrate_home
0.0,0.0,95,Portland Trail Blazers,8.27272727273,8.0,2009-11-16,1.0,1.0,12.0,11.0,99,Atlanta Hawks,1,7:00 pm,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.8,1,0.727272727273,0.8
0.0,0.0,112,Toronto Raptors,1.0,5.6,2009-11-17,1.0,3.0,11.0,11.0,130,Denver Nuggets,0,7:00 pm,0.5,0.7,0.0,1.0,0.666666666667,0.666666666667,0.4,0.4,1,0.5,0.7
0.0,0.0,111,Phoenix Suns,3.90909090909,3.1,2009-11-17,1.0,1.0,12.0,11.0,105,Houston Rockets,0,7:30 pm,0.8,0.6,1.0,1.0,0.666666666667,0.666666666667,0.8,0.6,0,0.818181818182,0.6
0.0,0.0,93,Detroit Pistons,1.8,2.0,2009-11-17,1.0,1.0,11.0,11.0,106,Los Angeles Lakers,0,7:30 pm,0.5,0.7,0.0,0.0,0.666666666667,0.333333333333,0.6,0.6,1,0.5,0.7
0.0,0.0,102,Los Angeles Clippers,-3.27272727273,-7.0,2009-11-17,1.0,2.0,12.0,12.0,110,New Orleans Hornets,0,7:00 pm,0.4,0.3,1.0,0.0,0.333333333333,0.0,0.4,0.2,1,0.363636363636,0.272727272727
0.0,1.0,90,Miami Heat,4.2,7.63636363636,2009-11-18,0.0,1.0,11.0,12.0,105,Atlanta Hawks,0,7:00 pm,0.7,0.8,0.0,1.0,0.333333333333,1.0,0.6,1.0,1,0.7,0.818181818182
0.0,0.0,95,Golden State Warriors,-2.5,10.1818181818,2009-11-18,0.0,3.0,11.0,12.0,109,Boston Celtics,0,7:30 pm,0.3,0.7,0.0,0.0,0.333333333333,0.333333333333,0.4,0.4,1,0.3,0.727272727273
0.0,0.0,91,Los Angeles Clippers,-3.66666666667,-9.1,2009-11-18,0.0,3.0,13.0,11.0,106,Memphis Grizzlies,0,7:00 pm,0.4,0.2,0.0,1.0,0.333333333333,0.333333333333,0.2,0.2,1,0.333333333333,0.2
0.0,0.0,97,Houston Rockets,2.27272727273,-13.8181818182,2009-11-18,0.0,3.0,12.0,12.0,84,Minnesota Timberwolves,0,7:00 pm,0.6,0.0,0.0,0.0,0.333333333333,0.0,0.4,0.0,0,0.545454545455,0.0909090909091
0.0,0.0,94,Oklahoma City Thunder,3.18181818182,4.90909090909,2009-11-18,0.0,1.0,12.0,12.0,108,Orlando Magic,0,7:00 pm,0.5,0.7,1.0,1.0,0.666666666667,0.666666666667,0.6,0.6,1,0.545454545455,0.727272727273
0.0,0.0,84,Charlotte Bobcats,-6.1,-5.1,2009-11-18,1.0,3.0,11.0,11.0,86,Philadelphia 76ers,0,7:00 pm,0.3,0.4,0.0,0.0,0.0,0.333333333333,0.0,0.2,1,0.3,0.4
0.0,1.0,81,Detroit Pistons,0.454545454545,7.25,2009-11-18,0.0,1.0,12.0,13.0,87,Portland Trail Blazers,0,7:00 pm,0.4,0.7,0.0,0.0,0.333333333333,0.666666666667,0.6,0.8,1,0.454545454545,0.666666666667
0.0,0.0,91,Toronto Raptors,-0.727272727273,-1.4,2009-11-18,0.0,3.0,12.0,11.0,104,Utah Jazz,0,7:00 pm,0.4,0.4,0.0,0.0,0.333333333333,0.333333333333,0.4,0.4,1,0.454545454545,0.4
0.0,0.0,93,Chicago Bulls,-1.4,3.0,2009-11-19,1.0,1.0,11.0,12.0,108,Los Angeles Lakers,0,7:30 pm,0.6,0.7,1.0,1.0,0.666666666667,0.333333333333,0.6,0.6,1,0.6,0.727272727273
0.0,0.0,103,Phoenix Suns,4.08333333333,-5.75,2009-11-19,1.0,1.0,13.0,13.0,110,New Orleans Hornets,0,7:00 pm,0.8,0.3,1.0,1.0,0.666666666667,0.333333333333,0.8,0.4,1,0.833333333333,0.333333333333
